user_id,early_avg_recall,early_avg_delta,early_std_delta,early_avg_difficulty
u:7jh,0.941666667,145.95,450.8392729,0.910220881
u:7v2,0.709242424,281.95,1210.133637,0.940442992
u:8Oy,0,0,,1
u:8Xe,0.825,2009.3,8985.862774,0.837778558
u:8nF,0.974358974,0,0,0.993006993
u:9HK,1,0,0,0.974292126
u:9Iu,0.95,2629.8,11760.82313,0.931746032
u:9Ua,0.95,25.75,115.1575008,0.923520756
u:9gF,1,0,0,0.99
u:9l,0.971428571,0,0,0.867732862
u:9oz,0.96969697,0,0,0.870571116
u:A-d,0.666666667,0,0,1
u:A2-,1,29.75,133.0460447,0.878333333
u:ACZ,1,0,0,0.978199405
u:ADl,0.975,255.8,992.0010399,0.920833333
u:AGP,0.880952381,0,0,0.794101608
u:ALM,0.858974359,29.07692308,104.8383371,0.865079365
u:AMw,0.881944445,90.08333333,312.0578205,0.940180653
u:ASj,0.55,5.8,17.89913259,0.745487482
u:A_f,0.85,0,0,0.997058824
u:AdA,1,0,,0.666666667
u:AdU,0.85,2.95,13.19280107,0.723008658
u:Anh,0.825,0,0,0.864325397
u:AqW,0.777777778,0,0,0.977777778
u:Arp,1,40.71428571,152.3389079,0.958101422
u:AtY,0.9,0,0,0.715113534
u:AvA,0.925,0,0,0.968869048
u:B1a,1,0,,1
u:BKN,0.888888889,0,0,0.925925926
u:BNU,0.9,0,0,0.875
u:BNd,0.7,2093.8,9316.949973,0.648625541
u:BQ2,1,0,,1
u:Bd1,0.825,0,0,0.912676213
u:BdU,0.975,0,0,0.907031792
u:Bfe,0.888888889,0,0,0.869444444
u:Bfu,0.676470588,0,0,0.9329694
u:BiP,0.758333333,0,0,0.921428571
u:BwX,0.7875,0,0,0.894513102
u:Bz_,0.983333333,193.3,595.7966008,0.928661006
u:C90,0.928571429,0,0,0.917828241
u:C9E,0.940476191,0,0,0.870499661
u:CD0,0.541666667,25.5,102.6688596,0.847473586
u:CE_,0.866666667,0,0,0.939393939
u:CF_,0.954545455,0,0,0.986742424
u:CIK,1,0,0,0.963333333
u:CPz,0.909722222,1540.333333,5335.871188,0.928774929
u:CV8,1,0,0,0.786111111
u:CVn,0.886904762,25.14285714,94.07595715,0.871644042
u:CXf,0.925,0,0,0.881111111
u:Ca2,1,0,,1
u:Cbj,1,5.3,16.36459593,0.880788354
u:CnQ,0.952380952,0,0,0.857142857
u:Cox,1,0,,1
u:CqQ,1,0,0,0.956133402
u:Cug,0.813888889,18.8,59.67861294,0.860257998
u:CwM,0.285714286,0,0,0.803099457
u:Cwy,1,0,0,0.951428571
u:D-S,0.95,0,0,0.975694444
u:D3h,0.75,15.0625,33.32560327,0.713525443
u:D5B,0.75,0,,1
u:D9e,0.9,0,0,0.907738095
u:DE5,0.933333333,0,0,0.946992126
u:DKs,1,24.7,110.4617581,0.769565923
u:DMU,0.915,0,0,0.918940082
u:DWJ,0.636363636,0,0,0.958356861
u:DdF,0.833333333,0,,1
u:Ddh,0.883333333,0,0,0.850238095
u:Dhr,0.8,0,,1
u:DlW,0.952380952,0,0,0.927437642
u:Dmf,0.675510204,299.2142857,1119.557342,0.879891849
u:Ds8,0.786369048,53.9,167.2769214,0.721983104
u:E4Q,0.84,1775.8,7256.55276,0.948529412
u:E6Q,0.608333333,9.35,23.35149043,0.819686734
u:EG8,1,0,,1
u:EJU,0.892857143,0,0,0.814285714
u:EQV,1,0,,1
u:EUX,1,197,278.6000718,0.9375
u:Egl,0.981481481,0,0,0.87223237
u:Eif,1,0,0,0.828571429
u:Ek1,0.95,0,0,0.879958483
u:F2,1,0,,0.875
u:F2_,0.475,25.2,63.68557632,0.872452945
u:FCn,0.9375,15.4,68.87089371,0.917620962
u:FEc,0.975,141.65,633.478058,0.923557692
u:FHs,1,40.2,179.7798654,0.908333333
u:FIi,1,276.9,1238.334446,0.95495098
u:FK,1,0,,1
u:FL,0.825,14.85,66.41121893,0.731697336
u:FNF,1,0,0,0.928978429
u:FO,0.761944444,310.8,1330.977978,0.889166667
u:FVX,0.942307692,15.53846154,56.02471982,0.916666667
u:FYW,0.818181818,0,0,0.814735265
u:Fb2,1,22.85,34.68091391,0.947292333
u:FbC,0.93,44.7,141.3538114,0.953663004
u:Fcz,0.441666667,5.3,23.70232056,0.864319249
u:Few,0.95,0,0,0.92632899
u:Fn2,0.973333333,18.25,56.52747353,0.881942294
u:FoJ,1,0,0,1
u:Fpp,1,0,0,0.853736264
u:Frv,0.982857143,10.95,48.96988871,0.827029915
u:Fu4,0.714285714,0,,0.8
u:FuL,1,0,,1
u:Fwt,0.925,15.05,67.30564612,0.941666667
u:FxZ,0.941666667,9.3,41.59086438,0.983333333
u:Fxo,0.952380952,39.5,147.7954668,0.914484127
u:G-6,0.944444444,0,0,0.900793651
u:G0b,0.7,0,0,0.855793527
u:G4u,0.823529412,25.82352941,87.81673765,0.976143791
u:G7V,0.53125,13.125,36.17711063,0.72306957
u:GH6,0.976190476,0,0,0.847040043
u:GLo,0.9,9.75,43.60332556,0.916666667
u:GRU,0.908163265,0,0,0.916666667
u:GZr,1,93,131.5218613,1
u:Gdk,0.833333333,0,,1
u:Gl0,0.85,0,0,0.908498168
u:Gze,0.870833333,975,4257.440719,0.945450876
u:H1J,0.95,0,0,0.633333333
u:H9_,0.9,0,0,0.64017094
u:HDu,0.5,2.7,12.07476708,0.793205924
u:HG8,0.888888889,0,0,0.896825397
u:HNg,0.666666667,0,,1
u:HOz,0.891666667,0,0,0.955555556
u:HP5,1,224,316.783838,1
u:HQx,0.975,14.45,64.62236455,0.862986111
u:HWB,0.725,36.45,163.0093556,0.758438645
u:Hcn,0.95,0,0,0.929193824
u:He0,0.983333333,1009.8,4515.962887,0.908524115
u:HeP,0.775,68.05,290.5154177,0.829242424
u:Hs8,0.891666667,17.85,79.8276268,0.926753259
u:Huq,0.916666667,0,0,0.962393756
u:Hvt,0.95,0,0,0.844082633
u:ICy,1,0,0,1
u:IDn,0.95,0,0,0.856431543
u:IJf,0.5,0,0,0.791666667
u:IKJ,1,0,,1
u:IML,0.743589744,0,0,0.767682318
u:IMh,1,0,,1
u:IQx,0.775,7.3,22.86136709,0.874377773
u:IT7,0.983333333,35.4,132.2459431,0.859810267
u:IY_,0.683333333,0,0,0.600872352
u:Ib6,0.625,0,0,0.658680556
u:Ibw,0.8,0,0,0.89668791
u:Icw,0.833333333,0,0,0.875
u:IgE,0.95,0,0,0.882478355
u:Ih5,0.925,14.6,65.29318494,0.875
u:Ii9,0.804166667,0,0,0.909805713
u:Ik9,1,0,0,0.911594203
u:IqP,0.9,0,0,0.916666667
u:It4,0.983333333,0,0,0.896867484
u:IwZ,0.95,0,0,0.911384951
u:Ix6,1,664.5,939.7449122,0.923076923
u:Iy5,0.897619048,13.14285714,49.17606851,0.951190476
u:IzL,0.96875,30.8125,123.25,0.931218434
u:J2u,1,0,0,0.956018519
u:J7B,1,0,0,0.952380952
u:JCv,0.964285714,0,0,0.892857143
u:JDG,0.9,0,0,0.893214286
u:JIN,1,9.9,44.27414595,0.940811833
u:JKR,0.925,0,0,0.906666667
u:JR_,0.75,7.5,33.54101966,0.919386115
u:JXt,0.8,0,0,0.604941013
u:JZo,0.933333333,0,0,0.889156586
u:JcD,0.833333333,153.5,217.0817818,0.875
u:Jcs,1,0,0,0.8
u:Jcw,0.946969697,0,0,0.943856934
u:Ji8,0.898809524,0,0,0.88125
u:Jiz,1,735.6923077,1799.00956,0.955928762
u:Jjn,0.930416667,18.1,80.94566079,0.857899803
u:Jkz,0.85,130,286.306529,0.839285714
u:Jn2,0.7,3.65,16.32329624,0.900820106
u:Jne,0.8875,1565,1847.913959,0.825
u:Jqm,0.925,0,0,0.851752861
u:KAq,0.820833333,53.95,241.2717348,0.869880952
u:KEL,0.95,18.2,56.55700431,0.923581696
u:KEd,0.75,0,0,0.900644122
u:KHZ,1,0,,1
u:KL-,0.95,16.05,71.77778208,0.984259259
u:KM9,0.900833333,26.05,84.12801961,0.91
u:KUN,0.852380952,0,0,0.833333333
u:KX,0.81547619,0,0,0.523809524
u:KbX,0.916666667,0,0,0.875
u:KdA,0.775,15,35.45939115,0.814861111
u:Klq,0.733333333,0,0,1
u:Kv,0.875,0,0,0.879722222
u:Kz_,0.8,5.15,23.03150017,0.893172799
u:L5P,1,0,,0.8
u:L6X,0.736666667,1302.9,5811.69947,0.862082942
u:LA0,0.95,0,0,0.938875987
u:LDI,0.95,0,0,0.916325758
u:LFw,0.9375,0,0,0.875
u:LHk,0.882738095,378.5,1070.559667,0.754761905
u:LJ0,0.85,162,458.2051942,0.826958689
u:LM5,0.833333333,24,107.3312629,0.894391351
u:LPz,1,0,0,0.887301587
u:LVh,0.6,49.05,188.619214,0.946468254
u:LdY,0.8125,0,0,0.985833333
u:Le,1,0,,1
u:Lpn,0.825,1517.05,6740.282225,0.855251158
u:Lt0,0.875,13.75,61.49186938,0.939155983
u:Lx4,1,0,,1
u:M3n,0.947368421,0,0,0.739444766
u:M5q,1,0,,1
u:MCs,0.8,0,0,0.877317979
u:MCt,0.925,4127.666667,9930.033971,0.942735043
u:MZ1,0.907777778,47.75,148.4083538,0.885249271
u:MZg,0.8,0,,0.777777778
u:Mh8,1,4.6,11.61396618,0.976613169
u:Mi6,1,0,,1
u:MmU,0.887188209,0,0,0.865240922
u:MwR,0.769230769,313.7692308,1131.31105,0.702564103
u:Mxn,0.85,22.05,68.33237269,0.961964286
u:Mxz,0.794117647,0,0,0.600573511
u:N0H,0.9,5.7,25.49117494,0.867408337
u:N5D,0.916666667,0,0,0.905555556
u:N7V,0.857142857,0,0,0.880952381
u:N7i,0.95,0,0,0.966666667
u:N8-,0.973684211,79.84210526,299.2253449,0.993421053
u:NJy,0.75,0,0,0.838174069
u:NPe,1,342,483.6610383,0.625
u:NPs,0.691666667,0,0,0.72252557
u:NU4,0.859166667,48.35,131.5763837,0.837608447
u:NXS,1,0,0,0.889285714
u:NXX,1,0,,1
u:NaA,0.954166667,19.7,60.6361886,0.943690476
u:Naz,0.725,5.4,24.14953416,0.814468974
u:NbI,0.95,0,0,0.864484891
u:Neq,0.555555556,13.88888889,28.62885103,0.821164021
u:NgJ,1,0,,1
u:Niz,1,0,0,0.901064214
u:NjX,0.842105263,660.9473684,2773.946116,0.869665474
u:Nmh,0.85,0,0,0.847458791
u:Nsm,0.964285714,0,0,0.891666667
u:NuB,0.875,0,0,0.82016001
u:NuT,0.908333333,25.6,114.4866804,0.933869048
u:Ny0,0.789285714,14.5,54.25403211,0.854695853
u:O21,0.928703704,9.666666667,41.01219331,0.909978916
u:O4z,0.852083333,11.8,37.2143153,0.895899882
u:O6N,1,0,,1
u:O7p,1,0,0,0.974398397
u:O9-,0.8,0,,0.833333333
u:ODU,0.777777778,0,0,0.860630111
u:OHG,0.975,5.75,25.71478174,0.906666667
u:Oej,0.846474359,140.2857143,524.9010791,0.882314649
u:Om9,0.85,10.2,45.61578674,0.886130952
u:OmY,0.933333333,3414,10941.69062,0.928483103
u:OnX,0.875,0,0,0.947701914
u:OvI,0.808333333,13.2,59.03219461,0.800558608
u:P8P,0.873333333,28.95,129.4683359,0.728183761
u:PCv,0.825,5.35,16.53154879,0.951190476
u:PJA,0.8,0,,1
u:P_S,1,0,,1
u:Pa3,0.916666667,0,0,0.95
u:Pb7,0.791666667,11.2,50.0879227,0.914199826
u:Pfd,0.65,83.65,374.0941726,0.906408517
u:Ph,0.975,14.2,63.50433056,0.975761991
u:PkP,1,0,,0.9375
u:Pp1,0.930128205,125.2307692,451.5259597,0.864102564
u:PsW,1,0,,0.857142857
u:Puv,0.825,4.3,19.23018461,0.91375
u:PzO,0.945833333,34.55,109.5029319,0.975508625
u:Q-F,0.725,3.4,15.20526225,0.839844556
u:Q2R,1,430.4375,1721.75,0.925347222
u:Q9S,0.604761905,26.85714286,100.490227,0.905895692
u:QKZ,1,0,,1
u:QLf,0.95,2.6,11.62755348,0.778846994
u:QNu,1,0,0,0.871944444
u:QRG,0.95,0,0,0.77560008
u:QRq,1,0,0,0.911255411
u:QS9,0.99,39.6,177.0965838,0.856676587
u:QVC,0.9625,0,0,0.911351291
u:QXs,0.983333333,85.3,225.4418118,0.912434192
u:QbV,1,14.38461538,51.86446835,0.961538462
u:Qoy,1,0,0,0.838833068
u:QpI,0.9,18.6,41.59086438,0.86
u:R-a,1,0,0,0.995833333
u:RIQ,0.752941176,15.35294118,49.82085554,0.825478443
u:RK5,0.9,0,0,0.892857143
u:RLH,0.958333333,41.3,114.1688961,0.862118284
u:RLS,1,61.3,235.6217084,0.765077839
u:RNp,0.972222222,0,0,0.959401709
u:ROd,0.966071429,27.1,121.1948844,0.911674497
u:RQ5,0.475,4,17.88854382,0.857539683
u:RWR,0.916666667,0,0,0.833333333
u:RZP,0.904166667,0,0,0.789207278
u:RZX,0.875,0,0,0.836935458
u:Rdn,0.9375,0,0,0.86093272
u:Rdt,0.944444444,0,0,0.933885944
u:Ref,0.898333333,48.85,218.4638414,0.856666667
u:RhQ,0.7,603.85,2700.499296,0.760437656
u:RwK,0.525,8.9,27.76764494,0.579024446
u:S4n,1,0,,0.888888889
u:SFJ,1,0,,1
u:SIA,0.9,0,0,0.843333333
u:SOH,0.791666667,28.75,128.5739087,0.892024081
u:SPt,0.864583333,267.375,459.9300995,1
u:SUC,1,0,,1
u:SW1,0.5,0,0,0.896759259
u:Smv,1,0,0,0.959183673
u:Soi,0.833333333,491.5,695.0859659,1
u:SuH,0.883333333,20.75,70.56678434,0.935775623
u:Suz,0.9025,74.15,229.8311222,0.938030427
u:SvT,1,0,,1
u:T4k,0.95,0,0,0.96
u:T5Z,0.9,0,0,0.901666667
u:T69,0.75,12.35,44.19725521,0.926197751
u:TB-,1,0,,0.875
u:TD6,0.8,3.75,16.77050983,0.848472222
u:THa,0.647058824,11.70588235,36.59877851,0.768221289
u:TRj,0.913141026,52,129.0748457,0.93623909
u:TWv,0.883690476,7.25,32.42298567,0.84864899
u:Tb8,0.941176471,0,0,0.906862745
u:Tbo,0.758333333,5.55,17.30371119,0.895846384
u:Tfm,0.93,0,0,0.766666667
u:Tji,0.8,0,0,0.919230492
u:Tkf,0.95,0,0,0.904200239
u:Tmk,0.75,0,0,0.666666667
u:Tnm,0.896825397,2082.666667,3607.284482,0.892857143
u:To4,0.9,0,0,0.876785714
u:TpO,0.9275,64.6,199.0726924,0.901151515
u:TvM,1,0,0,0.916666667
u:Tyz,0.909090909,0,0,0.952869739
u:U6b,0.916666667,0,0,0.857638889
u:UZ7,1,0,,1
u:U_x,0.833333333,45.72222222,193.9829603,0.711700337
u:Ua9,0.976190476,38.42857143,143.7865481,0.908286396
u:UjH,1,0,0,0.821428571
u:UkL,0.78125,0,0,0.819790049
u:Ukj,0.916666667,0,0,0.956168831
u:VES,1,0,,0.928571429
u:VQj,0.6875,225,318.1980515,1
u:VTZ,1,0,0,0.923927584
u:VUF,0.85,6.8,30.41052449,0.88375
u:Vcn,0.8625,36.65,113.726484,0.8375
u:VeB,1,133.5,188.7975106,1
u:VmC,0.875,0,0,0.851440226
u:Vo5,0.9775,0,0,0.935879121
u:Vwm,1,0,0,0.937393915
u:W04,0.958333333,0,0,0.833333333
u:W2W,0.797619048,0,0,0.930359629
u:W92,0.85,0,0,0.903602729
u:WHS,0.55,1171.25,5224.11869,0.87727793
u:WLs,1,58.7,262.5143806,0.936870915
u:WOh,0.8,0,,0.972972973
u:WQ_,1,0,0,0.803846154
u:WRk,0.916666667,45.42857143,120.1927024,0.835853186
u:WcO,0.975,0,0,0.90295911
u:Wec,0.904761905,0,0,0.952380952
u:WfS,0.875,0,0,0.884242424
u:WgT,0.741666667,0,0,0.824451155
u:WiH,0.95,0,0,0.9298592
u:WlU,0.870833333,19.35,60.42853543,0.848003925
u:WmR,0.9375,0,0,0.9
u:WsN,1,0,,1
u:Wym,1,0,,1
u:X4h,0.952380952,0,0,0.821428571
u:X4j,0.923333333,43.3,167.7517276,0.871845238
u:XDH,0.75,0,0,0.895039278
u:XKP,0.975,35.55,111.5906405,0.926998168
u:XNQ,0.883333333,0,0,0.927411389
u:XRR,0.883333333,0,0,0.933609313
u:Xav,1,0,,0.625
u:Xd,0.833333333,0,,1
u:Xl5,0.875,0,0,0.962892411
u:XnN,0.9375,694.6,2376.521638,0.904250676
u:Xq-,0.875,8,35.77708764,0.926190476
u:Xqm,0.833333333,0,,0.75
u:Xs0,0.913333333,22.6,69.56133227,0.913141186
u:Y4,0.95,1602.4,7101.221002,0.905909091
u:Y9i,0.966666667,63.85,207.6323357,0.854682383
u:YGb,0.658333333,9.85,33.04267576,0.74375
u:YV3,0.79,8.15,36.44790803,0.777958426
u:YVz,1,0,0,0.907440249
u:YeY,1,0,0,0.862607667
u:Yhv,1,0,,0.5
u:YqE,0.891666667,592.4,2527.766112,0.89625
u:Yy3,0.875,0,0,0.906746032
u:YzY,0.833333333,0,,1
u:Z1s,0.952910053,85.8,215.3509428,0.886554663
u:ZDt,1,0,0,0.933333333
u:ZK4,0.947916667,39.125,110.6622113,0.977112789
u:ZNY,1,0,0,0.867552748
u:ZOP,0.841666667,4.7,21.01903899,0.9525
u:ZTF,0.9375,79.8,288.5923368,0.924225774
u:ZXA,0.833333333,1428.45,6388.222605,0.851874841
u:Z_5,0.95,0,0,0.941433488
u:Zbu,1,0,0,0.952916667
u:ZjM,1,0,,1
u:Zl3,0.9625,0,0,0.897723951
u:ZnJ,0.500357143,23.2,79.97539095,0.686602564
u:Znt,0.958333333,191.15,612.8244597,0.878139881
u:ZoI,1,0,0,0.905171664
u:ZqG,0.9,0,0,0.919097143
u:Zvo,0.981818182,242,802.6231993,0.928300866
u:_2,0.8875,1838,7911.177868,0.892613866
u:_4-,0.9,0,0,0.916567877
u:_50,0.166666667,0,0,0.838276964
u:_6K,0.865,0,0,0.86438977
u:_Cl,0.805555555,0,0,0.847222222
u:_FD,0.925,145.4,650.2485679,0.919847081
u:_IW,0.975,31.7,101.0477219,0.946666667
u:_NA,0.625,33.85,121.8084238,0.75625
u:_RW,1,0,0,0.919923562
u:_T0,0.965277778,79.5,186.0833147,0.882665862
u:_ZE,0.809722222,82.5,274.5803497,0.899744152
u:_bp,1,0,0,0.86875
u:_eX,1,20.2,90.33714629,0.8875
u:_fL,0.83,66.8,235.6685005,0.856083654
u:_ui,0.8,14.15,38.45472389,0.836547619
u:_xf,0.9125,40.6,125.47904,0.849754336
u:b-AF,0.8,7.85,35.10626725,0.934474642
u:b-Az,0.933333333,0,0,0.939434212
u:b-Hm,0.965277778,152,292.6651826,0.946841002
u:b-QA,0.775935374,61.92857143,231.7154967,0.877704584
u:b-a9,0.6,12.3,26.04469842,0.762750138
u:b-t_,1,0,0,0.87197305
u:b0SE,0.86,192.4,430.2194789,0.914285714
u:b0So,0.95,0,0,0.877711022
u:b0aD,0.966666667,281.7222222,740.280615,0.904100529
u:b0cB,0.948333333,47.2,211.0848171,0.730871212
u:b0sQ,0.3,3.4,15.20526225,0.69056231
u:b16O,0.85,0,0,0.908333333
u:b18f,0.9,0,0,0.902380952
u:b1M9,1,27.57894737,85.48834605,0.926482874
u:b1O0,0.902777778,54.61111111,160.2465523,0.83042328
u:b1SX,1,10.5,46.95742753,0.914304231
u:b1lG,0.75,0,0,0.958968254
u:b1r5,1,0,0,0.954545455
u:b1s7,1,101,174.9371316,1
u:b1t8,0.85,0,0,0.933464954
u:b1vg,1,0,0,0.884690217
u:b1x3,0.8,0,0,0.96511471
u:b1xP,1,0,0,0.951904762
u:b1yc,0.35,5.7,25.49117494,0.799616148
u:b2-F,0.855,3890.1,12301.57633,0.9125
u:b20J,0.833333333,104,208,0.95
u:b29K,1,10.6,33.14465901,0.874874145
u:b2EN,0.85,0,0,0.941666667
u:b2Ev,0.875,0,0,0.939315836
u:b2Gh,0.951442308,148.8125,595.25,0.904233871
u:b2LZ,0.95,8.15,36.44790803,0.918968254
u:b2Qy,1,0,0,0.850589343
u:b2yI,0.902777778,0,0,0.972222222
u:b39D,0.876704545,30.35,93.75290873,0.911964251
u:b39L,0.95,128.35,573.9986498,0.918532672
u:b3Cz,0.95,0,0,0.886607143
u:b3Fb,0.952380952,0,0,0.876190476
u:b3J8,0.916666667,12031.66667,20615.56413,0.888888889
u:b3Qg,1,0,0,0.808775275
u:b3RU,0.84,13.65,61.04465579,0.871791505
u:b3WU,0.885,34.35,84.57278086,0.971428571
u:b3Zc,0.871944444,0,0,0.818080654
u:b3_S,1,0,,1
u:b3a7,0.826190476,0,0,0.873301821
u:b3an,0.893333333,39.4,108.1267774,0.914920635
u:b3bQ,0.8,0,0,0.954887057
u:b3c7,0.875,0,0,0.972301333
u:b3e5,0.95,347.6,1554.514458,0.940811688
u:b3hk,0.9,0,0,0.796696963
u:b3ml,0.9,0,0,0.964285325
u:b3q_,1,0,,1
u:b4I,0.75,0,0,0.93934805
u:b4K,0.9,250.55,1047.892294,0.904117647
u:b4K_,0.869047619,0,0,0.843273393
u:b4M,0.891666667,1307.95,3509.363392,0.921746032
u:b4MQ,0.897435897,6017.769231,21697.37553,0.865384615
u:b4Ms,0.35,4.95,15.25735371,0.858576281
u:b4TL,0.666666667,0,0,0.944444444
u:b4__,0.9,0,0,0.934978355
u:b4dg,0.96875,0,0,0.808333333
u:b4f,0.825,5.45,24.37314095,0.915490354
u:b4iK,1,0,,1
u:b4sA,0.758333333,0,0,0.968714723
u:b4uR,0.8125,146.35,453.5306263,0.91279961
u:b50M,0.840476191,0,0,0.866666667
u:b5GM,0.8,0,0,0.898056781
u:b5Js,0.875833333,40.25,124.0652948,0.872301587
u:b5OG,0.4,9.4,21.01903899,0.59
u:b5R-,0.973684211,43.52631579,166.0810941,0.951502628
u:b5ZF,0.925,0,0,0.875983545
u:b5ZN,0.85,0,0,0.931666667
u:b5_6,1,0,0,0.940092549
u:b5fu,0.933333333,0,0,0.853860029
u:b5hH,0.875,0,0,0.983333333
u:b5ib,0.836111111,0,0,0.912037037
u:b5k3,0.8875,34.3,105.7007195,0.922846767
u:b5mn,0.826388889,0,0,0.903232193
u:b69c,0.954166667,20.5,63.36735005,0.906666667
u:b69q,0.8,5.75,17.70481647,0.888329182
u:b6Bh,0.916666667,0,0,0.845238095
u:b6Fm,0.775,0,0,0.949801587
u:b6Gi,0.9375,0,0,0.871710526
u:b6YU,0.666666667,0,,1
u:b6Yq,0.916666667,0,0,0.939814815
u:b6hN,0.965,16.85,75.35549084,0.893690476
u:b6lU,0.895833333,0,0,1
u:b6xL,0.827380952,78.21428571,292.6510599,0.818877551
u:b71g,0.891666667,2011.8,7076.356337,0.828333333
u:b7Bd,0.75,0,0,0.901291391
u:b7HS,0.975,0,0,0.855592671
u:b7St,0.75,148.95,625.9335323,0.972754329
u:b7TT,1,0,0,0.916666667
u:b7UI,0.95,0,0,0.90635008
u:b7he,0.9125,0,0,0.935084408
u:b7iL,0.85,9.15,28.45360952,0.822554113
u:b7mc,1,0,0,0.88702381
u:b7t9,0.5,0,0,0.666666667
u:b7tf,0.95,0,0,0.872469716
u:b7wh,1,36.53846154,131.7412966,0.961538462
u:b7yj,0.95,0,0,0.919583333
u:b8-,1,0,0,0.928571429
u:b84o,0.975,0,0,0.913333333
u:b8CL,0.846153846,0,0,0.995475113
u:b8Jk,0.9875,14.7,65.74039854,0.971153846
u:b8QU,0.840476191,0,0,0.882634909
u:b8aN,0.95,0,0,0.979166667
u:b8aP,1,0,0,0.950423977
u:b8a_,0.899166667,3067.5,9343.560437,0.897231045
u:b8dh,1,29991,42413.67895,1
u:b8iU,0.9375,227.6,852.8037597,0.885098684
